source,target,regex,code,type,hits,title,status
"/about-us/contact-us/","https://evergreensafe.wpengine.com/about/contact/",0,301,"url",1897,"","active"
"/workplace-safety/","https://evergreensafe.wpengine.com/courses/",0,301,"url",1166,"","active"
"/traffic-control/traffic-control-supervisor-certification/washington/","https://evergreensafe.wpengine.com/courses/courses_tc_supervisor/",0,301,"url",2224,"","active"
"/workplace-safety/forklift-training/","https://evergreensafe.wpengine.com/courses/courses_ws_operator/",0,301,"url",2197,"","active"
"/about/","https://evergreensafe.wpengine.com/story/",0,301,"url",80,"","disabled"
"/traffic-control/instructor-forms/","https://evergreensafe.wpengine.com/courses/courses_tc_forms/",0,301,"url",670,"","active"
"/story/board/","https://evergreensafe.wpengine.com/story/team/",0,301,"url",643,"","active"
"/story/","https://evergreensafe.wpengine.com/about/",0,301,"url",1094,"","active"
"/story/team/","https://evergreensafe.wpengine.com/about/team/",0,301,"url",856,"","active"
"/faqs/flagger-certification/","https://evergreensafe.wpengine.com/courses/courses_tc_flagger/",0,301,"url",3550,"","active"
"/traffic-control/flagger-instructor-certification/","https://evergreensafe.wpengine.com/courses/courses_tc_flagger_ic/",0,301,"url",970,"","active"
"/members/apply_thankyou","https://evergreensafe.wpengine.com/members/order",0,301,"url",1,"","active"
"/traffic-control/","https://evergreensafe.wpengine.com/courses/courses_tc_supervisor/",0,301,"url",802,"","active"
"/newsletter/","https://evergreensafe.wpengine.com/about/news/",0,301,"url",28,"","active"
"/courses/courses_vs_pevo/","https://evergreensafe.wpengine.com/program/pilot-car/",0,301,"url",1612,"","disabled"
"/about/news/","https://evergreensafe.wpengine.com/about/newsroom/",0,301,"url",585,"","active"
"/courses/courses_vs_pevo_forms/","https://evergreensafe.wpengine.com/program/pilot-car",0,301,"url",191,"","disabled"
"/pevo","https://evergreensafe.wpengine.com/program/pilot-car",0,301,"url",1303,"","active"
"/registration/pilot-car","https://evergreensafe.wpengine.com/program/pilot-car",0,301,"url",219,"","active"
"/courses/courses_tc_flagger/","https://evergreensafe.wpengine.com/program/flagger/certification/",0,301,"url",5233,"","disabled"
"/courses_vs_eversafe_online","https://evergreensafe.wpengine.com/program/eversafe/online/",0,301,"url",892,"","disabled"
"/onlinehelp","https://www.youtube.com/playlist?list=PLhgzH3oLdKMwfGAbVspUSf4LEGBFEsS-E",0,301,"url",163,"","active"
"/forklift","/unknown",0,301,"url",5,"","active"
"/eversafe","/unknown",0,301,"url",0,"","active"
"/courses_vs_eversafe_online/","https://evergreensafe.wpengine.com/program/eversafe/online/",0,301,"url",685,"","disabled"
"/courses/courses_tc_supervisor/","https://evergreensafe.wpengine.com/program/traffic-control-supervisor/",0,301,"url",1757,"","disabled"
"/courses/courses_ws_operator/","https://evergreensafe.wpengine.com/program/forklift/",0,301,"url",763,"","disabled"
"/courses/courses_tc_card/","http://www.esc.org/order/flagger-replacement/",0,301,"url",803,"","disabled"
"/courses","http://www.esc.org/program/",0,301,"url",450,"","disabled"
"/oversize","http://www.esc.org/about/related-article/oversize/",0,301,"url",655,"","active"
"/courses/courses_vs_eversafe_ic/","/unknown",0,301,"url",118,"","disabled"
"/moto","https://evergreenmotorcycletraining.org/",0,301,"url",92,"","active"
"/trainingwheels","http://www.esc.org/related-article/three-wheel-fundamentals-online-course-access-guide-trainingwheelsonline/",0,301,"url",150,"","active"
"/program/forklift-2/","http://www.esc.org/program/forklift/",0,301,"url",28,"","active"
"/members/protected-main/","http://www.esc.org/members/portal/",0,301,"url",282,"","active"
"/witpac","http://www.esc.org/program/pilot-car/witpac",0,301,"url",2160,"","active"
"/staff/angela-goodman/","https://www.esc.org/about/team/",0,301,"url",33,"","active"
"/staff/robert-garrison/","https://www.esc.org/about/team/",0,301,"url",61,"","active"
"/staff/craig-jones/","https://www.esc.org/about/team/",0,301,"url",57,"","active"
"/staff/thomas-monroe/","https://www.esc.org/about/team/",0,301,"url",44,"","active"
"/staff/bruce-scott/","https://www.esc.org/about/team/",0,301,"url",56,"","active"
"/staff/james-sullivan/","https://www.esc.org/about/team/",0,301,"url",43,"","active"
"/staff/vernen-todd/","https://www.esc.org/about/team/",0,301,"url",21,"","active"
"/staff/mike-ursenio/","https://www.esc.org/about/team/",0,301,"url",23,"","active"
"/program/scholarships/","http://www.esc.org/scholarships/",0,301,"url",304,"","active"
"/program/scholarships/aasc","/unknown",0,301,"url",33,"","active"
"/program/scholarships/montyclish/","https://www.esc.org/scholarships/montyclish/",0,301,"url",150,"","active"
"/members/awards/","https://www.esc.org/awards/",0,301,"url",818,"","active"
"/witpac21","https://witpac-evergreen.talentlms.com/",0,301,"url",4,"","active"
"/related-article/three-wheel-fundamentals-online-course-access-guide-trainingwheelsonline/","https://evergreenmotorcycletraining.org/related-article/3w404/",0,301,"url",229,"","active"
"/pevo-operators/","https://www.esc.org/patrol/",0,301,"url",46,"","active"
"/flagger","https://www.esc.org/program/flagger/",0,301,"url",107,"","active"
"/tcs","https://www.esc.org/program/traffic-control-supervisor/",0,301,"url",166,"","active"
"/forklift","https://www.esc.org/program/forklift/",0,301,"url",36,"","active"
"/eversafe","https://www.esc.org/program/eversafe/",0,301,"url",29,"","active"
"/custom","https://www.esc.org/program/custom/",0,301,"url",2,"","active"
"/pr","https://www.esc.org/order/pevo-replacement",0,301,"url",21,"","active"
"/fr","https://www.esc.org/order/flagger-replacement",0,301,"url",37,"","active"
"/tcsr","https://www.esc.org/order/tcs-replacement",0,301,"url",12,"","active"
"/Live Site","/",0,301,"url",0,"","active"
"/Title","URLs",0,301,"url",0,"","active"
"/404","https://www.esc.org/404/",0,301,"url",56,"","active"
"/Contact Us","https://www.esc.org/about/contact/",0,301,"url",0,"","active"
"/Our History","https://www.esc.org/about/history/",0,301,"url",0,"","active"
"/Locations","https://www.esc.org/about/locations/",0,301,"url",0,"","active"
"/Newsroom","https://www.esc.org/about/newsroom/",0,301,"url",0,"","active"
"/Chason Coelho","https://www.esc.org/about/newsroom/chason-coelho/",0,301,"url",0,"","active"
"/Now Offering Colorado Pilot Car Certification Training","https://www.esc.org/about/newsroom/colorado-pilot-car/",0,301,"url",0,"","active"
"/DKB, Inc. in Pasco","https://www.esc.org/about/newsroom/dkb-inc-in-pasco/",0,301,"url",0,"","active"
"/ESC President Discusses Emerging Safety Trends","https://www.esc.org/about/newsroom/esc-president-discusses-emerging-safety-trends/",0,301,"url",0,"","active"
"/Now Offering Online Forklift Certification Training","https://www.esc.org/about/newsroom/forklift/",0,301,"url",0,"","active"
"/Rick Gleason and Todd Williams","https://www.esc.org/about/newsroom/gleason-and-williams-retire-from-evergreen-safety-councils-board-of-directors/",0,301,"url",0,"","active"
